StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please rate the required capabilities for a person to execute the driving task illustrated in Figure C1.

 
'To park the car forwards, on an empty lot, starting from an aligned position' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C1.

 
'To park the car forwards, on an empty lot, starting from an aligned position' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C1.

 
'To park the car forwards, on an empty lot, starting from an aligned position' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C2.

 
'To park the car backwards, on an empty lot, starting from a misaligned position' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C2.

 
'To park the car backwards, on an empty lot, starting from a misaligned position' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C2.

 
'To park the car backwards, on an empty lot, starting from a misaligned position' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C3.

 
'To park the car forwards, on an empty lot, starting from a misaligned position' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C3.

 
'To park the car forwards, on an empty lot, starting from a misaligned position' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C3.

 
'To park the car forwards, on an empty lot, starting from a misaligned position' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C4.

 
'To park the car backwards, with cars and people around, starting from an aligned position' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C4.

 
'To park the car backwards, with cars and people around, starting from an aligned position' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C4.

 
'To park the car backwards, with cars and people around, starting from an aligned position' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C5.

 
'To park the car backwards, with cars and people around, starting from a misaligned position' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C5.

 
'To park the car backwards, with cars and people around, starting from a misaligned position' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C5.

 
'To park the car backwards, with cars and people around, starting from a misaligned position' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C6.

 
'To park the car forwards, with cars and people around, starting from a misaligned position' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C6.

 
'To park the car forwards, with cars and people around, starting from a misaligned position' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure C6.

 
'To park the car forwards, with cars and people around, starting from a misaligned position' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D1.

 
'While navigating, merge onto a clear road' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D1.

 
'While navigating, merge onto a clear road' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D1.

 
'While navigating, merge onto a clear road' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D2.

 
'While navigating, turn left on a clear T-junction' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D2.

 
'While navigating, turn left on a clear T-junction' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D2.

 
'While navigating, turn left on a clear T-junction' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D3.

 
'While navigating, enter a clear roundabout' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D3.

 
'While navigating, enter a clear roundabout' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D3.

 
'While navigating, enter a clear roundabout' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D4.

 
'While navigating, enter a roundabout with other moving cars' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D4.

 
'While navigating, enter a roundabout with other moving cars' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D4.

 
'While navigating, enter a roundabout with other moving cars' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D5.

 
'While navigating, merge onto a road with other moving cars' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D5.

 
'While navigating, merge onto a road with other moving cars' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D5.

 
'While navigating, merge onto a road with other moving cars' - Physical capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D6.

 
'While navigating, turn left on a T-junction with other moving cars' - Cognitive capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D6.

 
'While navigating, turn left on a T-junction with other moving cars' - Sensory capabilities","Please rate the required capabilities for a person to execute the driving task illustrated in Figure D6.

 
'While navigating, turn left on a T-junction with other moving cars' - Physical capabilities"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}"
2020-11-08 20:29:44,2020-11-08 20:39:56,IP Address,73.144.155.22,100,611,True,2020-11-08 20:39:56,R_3HqqSt11XqSBmrt,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,60,60,60,70,80,90,60,60,70,80,80,80,90,100,100,70,80,80,60,65,65,65,77,80,60,60,60,80,80,81,90,91,100,91,91,100
2020-11-08 21:04:56,2020-11-08 21:08:24,IP Address,24.127.103.68,100,207,True,2020-11-08 21:08:24,R_pmm2kJ0uIJQy43n,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,20,30,40,40,60,40,50,40,40,60,70,40,70,80,40,80,70,40,30,50,30,40,55,30,20,40,30,50,70,40,50,60,30,50,60,40
2020-11-08 21:12:20,2020-11-08 21:18:32,IP Address,174.230.2.55,100,372,True,2020-11-08 21:18:32,R_3qpz9Ml7BuT9Fwe,,,,,42.4622039794921875,-83.3993988037109375,anonymous,EN,0,,,31,50,20,11,20,5,70,70,50,80,80,60,41,40,16,29,30,20,35,35,20,41,41,21,70,71,42,80,70,40,90,90,60
2020-11-08 21:22:57,2020-11-08 21:26:35,IP Address,68.42.76.37,100,217,True,2020-11-08 21:26:35,R_DvNVUAihc2nlE3f,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,,0,0,30,34,31,15,17,15,43,32,37,42,35,37,39,42,32,39,36,38,36,31,30,35,35,34,55,58,51,44,45,47,43,47,53
2020-11-08 21:19:00,2020-11-08 21:28:44,IP Address,68.41.55.120,100,584,True,2020-11-08 21:28:44,R_3PYKXZrQAJ1787k,,,,,42.2324066162109375,-83.70169830322265625,anonymous,EN,0,,,20,30,20,10,20,,50,60,30,90,90,70,40,40,30,20,20,10,20,20,10,20,20,10,50,50,30,60,60,40,60,60,40
2020-11-08 22:28:07,2020-11-08 22:32:50,IP Address,68.61.156.109,100,283,True,2020-11-08 22:32:51,R_3MDJy4TW7XD4HUW,,,,,42.2196044921875,-83.6045989990234375,anonymous,EN,17,13,14,56,73,32,32,22,27,68,74,67,78,81,60,55,48,25,39,50,20,41,32,28,41,31,40,54,55,34,52,68,40,67,76,33
2020-11-09 02:40:11,2020-11-09 02:48:45,IP Address,177.89.129.201,100,513,True,2020-11-09 02:48:45,R_22F8aHt1ygQrX58,,,,,-5.8101043701171875,-35.2266998291015625,anonymous,EN,20,10,10,25,25,20,25,35,25,20,40,30,40,50,40,30,35,30,35,40,25,40,40,25,50,55,30,59,65,60,50,75,35,60,60,40
2020-11-09 03:03:26,2020-11-09 03:10:59,IP Address,201.17.158.165,100,452,True,2020-11-09 03:10:59,R_3ho9Us3PCcXNkj0,,,,,-19.8993072509765625,-43.957000732421875,anonymous,EN,0,,,19,43,4,5,5,,10,10,,20,20,,5,5,,,,,,,,,,,2,2,,2,2,,5,5,
