C1_rating,D1_rating,E1_rating,A_rating,B_rating,C2_rating,D2_rating,E2_rating,A_ID,B_ID,C_ID,D_ID,E_ID,B_SF
4,4,4,4,4,5,4,5,4,6,2,8,5,1
4,4,4,4,4,7,7,4,1,5,3,2,9,1
4,4,4,4,4,6,6,6,9,7,12,3,11,1
4,4,4,4,4,2,1,3,6,2,4,3,8,0
4,4,4,4,4,7,4,7,5,1,4,9,3,1
4,4,4,4,4,2,1,2,1,3,5,9,6,0
4,4,4,4,4,2,1,4,8,10,12,11,2,0
4,4,4,4,4,3,4,2,7,9,10,5,11,0
4,4,4,4,4,5,5,4,4,6,2,5,10,1
4,4,4,4,4,6,5,6,3,1,5,11,6,1
4,4,4,4,4,5,5,4,4,6,2,5,10,1
4,4,4,4,4,6,5,7,9,7,11,5,12,1
4,4,4,4,4,5,4,7,6,2,1,10,4,1
4,4,4,4,4,2,1,2,2,6,4,12,3,0
4,4,4,4,4,6,7,4,5,3,1,4,9,1
4,4,4,4,4,3,3,3,5,1,9,3,6,0
4,4,4,4,4,5,6,6,8,10,7,4,12,1
4,4,4,4,4,2,3,2,6,2,4,12,3,0
4,4,4,4,4,1,2,4,12,10,9,8,2,0
4,4,4,4,4,3,2,2,7,9,1,11,8,0
4,4,4,4,4,2,1,4,12,10,8,9,6,0
4,4,4,4,4,2,4,2,9,7,11,3,12,0
4,4,4,4,4,5,4,7,11,7,9,1,8,1
4,4,4,4,4,5,4,5,6,4,2,8,1,1
4,4,4,4,4,4,7,6,5,3,11,6,1,1
4,4,4,4,4,1,3,3,6,2,3,4,8,0
4,4,4,4,4,6,5,5,10,12,8,4,11,1
4,4,4,4,4,1,3,3,1,3,5,4,9,0
4,4,4,4,4,2,1,4,10,8,12,9,4,0
4,4,4,4,4,2,2,3,7,9,11,12,3,0
